No,NIM,OOP,RPB,RPL,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,KSI,Pilihan 1,Pilihan 2,Peminatan
1,1202160002,4,3.5,0,4,3.5,4,3.5,3.5,3.5,3.5,4,3.5,3.5,4,3.5,3.5,4,3.5,3.5,0,ERP,EDM,ERP
2,1202160009,4,3.5,0,3.5,3.5,3.5,3.5,3.5,4,3.5,3.5,3.5,4,3.5,3.5,3,3.5,4,3.5,0,ERP,EDM,ERP
3,1202160010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1202160011,4,4,0,3.5,3.5,4,3,4,3.5,3,3.5,3,3.5,3.5,4,3.5,3.5,3.5,2.5,0,ERP,EDM,ERP
5,1202160013,3.5,3,0,3.5,2,2,2.5,4,3.5,2,3.5,2.5,2.5,3.5,3.5,2.5,2,1,4,0,EA,EDM,EDM
6,1202160015,1,1,0,3.5,3.5,3,2,4,3.5,3,3,2.5,3.5,3.5,2.5,1,2,3.5,2.5,0,ISM,EDM,ISM
7,1202160019,3.5,2,0,2.5,3,3.5,1,3.5,4,1,0,2,0,2.5,3.5,2,2.5,1,2,0,EAD,ISM,EAD
8,1202160020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,1202160023,3,3.5,0,3.5,3.5,3.5,2,3,3.5,3,3.5,3.5,3.5,3.5,3,1,2,3.5,3,0,EA,EAD,EAD
10,1202160024,2,2.5,0,3.5,3.5,3,0,1,3.5,2.5,2,3,2.5,3,1,2,2,3.5,2.5,0,ISM,EAD,ISM
11,1202160028,3.5,3.5,0,3,3.5,2.5,2.5,3.5,3.5,2,2.5,2,2,3,3.5,3,3.5,2.5,2,0,EA,TECHNO,EA
12,1202160030,3.5,4,0,3.5,4,2.5,3.5,3.5,4,3,3.5,3,3.5,3,3,3,3.5,3.5,3.5,0,EAD,ISM,EAD
13,1202160034,3.5,2,0,3.5,2,4,2,2.5,3.5,3.5,3.5,2.5,2.5,3.5,2.5,3,4,3.5,3.5,0,EAD,EIM,EAD
