,No,NIM,OOP,RPB,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,Manprosi,Lulus Tepat Waktu
0,1,1202160002,4.0,3.5,4.0,3.5,4.0,3.5,3.5,3.5,3.5,4.0,3.5,3.5,4.0,3.5,3.5,4.0,3.5,3.5,3.5,1
1,2,1202160009,4.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,3.5,3.5,3.5,4.0,3.5,3.5,3.0,3.5,4.0,3.5,3.5,1
2,3,1202160010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0
3,4,1202160011,4.0,4.0,3.5,3.5,4.0,3.0,4.0,3.5,3.0,3.5,3.0,3.5,3.5,4.0,3.5,3.5,3.5,2.5,3.5,1
4,5,1202160013,3.5,3.0,3.5,2.0,2.0,2.5,4.0,3.5,2.0,3.5,2.5,2.5,3.5,3.5,2.5,2.0,1.0,4.0,4.0,1
5,6,1202160015,1.0,1.0,3.5,3.5,3.0,2.0,4.0,3.5,3.0,3.0,2.5,3.5,3.5,2.5,1.0,2.0,3.5,2.5,2.5,1
6,7,1202160019,3.5,2.0,2.5,3.0,3.5,1.0,3.5,4.0,1.0,0.0,2.0,0.0,2.5,3.5,2.0,2.5,1.0,2.0,2.5,0
7,8,1202160020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0
8,9,1202160023,3.0,3.5,3.5,3.5,3.5,2.0,3.0,3.5,3.0,3.5,3.5,3.5,3.5,3.0,1.0,2.0,3.5,3.0,2.5,1
9,10,1202160024,2.0,2.5,3.5,3.5,3.0,0.0,1.0,3.5,2.5,2.0,3.0,2.5,3.0,1.0,2.0,2.0,3.5,2.5,0.0,0
10,11,1202160028,3.5,3.5,3.0,3.5,2.5,2.5,3.5,3.5,2.0,2.5,2.0,2.0,3.0,3.5,3.0,3.5,2.5,2.0,2.5,1
11,12,1202160030,3.5,4.0,3.5,4.0,2.5,3.5,3.5,4.0,3.0,3.5,3.0,3.5,3.0,3.0,3.0,3.5,3.5,3.5,2.5,1
12,13,1202160034,3.5,2.0,3.5,2.0,4.0,2.0,2.5,3.5,3.5,3.5,2.5,2.5,3.5,2.5,3.0,4.0,3.5,3.5,3.5,1
13,14,1202160036,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0
