No,NIM,OOP,RPB,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,Manprosi
1,1202160002,4,3.5,4,3.5,4,3.5,3.5,3.5,3.5,4,3.5,3.5,4,3.5,3.5,4,3.5,3.5,3.5
2,1202160009,4,3.5,3.5,3.5,3.5,3.5,3.5,4,3.5,3.5,3.5,4,3.5,3.5,3,3.5,4,3.5,3.5
3,1202160010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
4,1202160011,4,4,3.5,3.5,4,3,4,3.5,3,3.5,3,3.5,3.5,4,3.5,3.5,3.5,2.5,3.5
5,1202160013,3.5,3,3.5,2,2,2.5,4,3.5,2,3.5,2.5,2.5,3.5,3.5,2.5,2,1,4,4
6,1202160015,1,1,3.5,3.5,3,2,4,3.5,3,3,2.5,3.5,3.5,2.5,1,2,3.5,2.5,2.5
7,1202160019,3.5,2,2.5,3,3.5,1,3.5,4,1,0,2,0,2.5,3.5,2,2.5,1,2,2.5
8,1202160020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5
9,1202160023,3,3.5,3.5,3.5,3.5,2,3,3.5,3,3.5,3.5,3.5,3.5,3,1,2,3.5,3,2.5
10,1202160024,2,2.5,3.5,3.5,3,0,1,3.5,2.5,2,3,2.5,3,1,2,2,3.5,2.5,0
11,1202160028,3.5,3.5,3,3.5,2.5,2.5,3.5,3.5,2,2.5,2,2,3,3.5,3,3.5,2.5,2,2.5
12,1202160030,3.5,4,3.5,4,2.5,3.5,3.5,4,3,3.5,3,3.5,3,3,3,3.5,3.5,3.5,2.5
13,1202160034,3.5,2,3.5,2,4,2,2.5,3.5,3.5,3.5,2.5,2.5,3.5,2.5,3,4,3.5,3.5,3.5
14,1202160036,0,0,0,2,0,0,1,1,0,2,1,0,0,0,0,0,0,0,3.5
15,1202160041,4,3.5,3.5,3.5,4,3.5,4,4,3.5,3,4,4,3.5,4,3.5,4,4,4,2.5
16,1202160043,4,3.5,4,3.5,4,4,4,4,3,4,3,4,4,4,4,4,3.5,3.5,4
17,1202160044,4,3.5,3.5,4,3.5,3,3.5,4,2.5,3.5,2.5,3,3.5,4,3.5,4,3.5,2.5,4
18,1202160045,4,3.5,4,3.5,3,4,2,4,2.5,3.5,3.5,4,4,3.5,4,3.5,3.5,4,2.5
