No,NIM,OOP,RPB,RPL,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,KSI
881,1202160002,4,3.5,0,4,3.5,4,3.5,3.5,3.5,3.5,4,3.5,3.5,4,3.5,3.5,4,3.5,3.5,0
882,1202160009,4,3.5,0,3.5,3.5,3.5,3.5,3.5,4,3.5,3.5,3.5,4,3.5,3.5,3,3.5,4,3.5,0
883,1202160010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,1202160011,4,4,0,3.5,3.5,4,3,4,3.5,3,3.5,3,3.5,3.5,4,3.5,3.5,3.5,2.5,0
885,1202160013,3.5,3,0,3.5,2,2,2.5,4,3.5,2,3.5,2.5,2.5,3.5,3.5,2.5,2,1,4,0
886,1202160015,1,1,0,3.5,3.5,3,2,4,3.5,3,3,2.5,3.5,3.5,2.5,1,2,3.5,2.5,0
887,1202160019,3.5,2,0,2.5,3,3.5,1,3.5,4,1,0,2,0,2.5,3.5,2,2.5,1,2,0
888,1202160020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
889,1202160023,3,3.5,0,3.5,3.5,3.5,2,3,3.5,3,3.5,3.5,3.5,3.5,3,1,2,3.5,3,0
890,1202160024,2,2.5,0,3.5,3.5,3,0,1,3.5,2.5,2,3,2.5,3,1,2,2,3.5,2.5,0
891,1202160028,3.5,3.5,0,3,3.5,2.5,2.5,3.5,3.5,2,2.5,2,2,3,3.5,3,3.5,2.5,2,0
892,1202160030,3.5,4,0,3.5,4,2.5,3.5,3.5,4,3,3.5,3,3.5,3,3,3,3.5,3.5,3.5,0
893,1202160034,3.5,2,0,3.5,2,4,2,2.5,3.5,3.5,3.5,2.5,2.5,3.5,2.5,3,4,3.5,3.5,0
894,1202160036,0,0,0,0,2,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0
895,1202160041,4,3.5,0,3.5,3.5,4,3.5,4,4,3.5,3,4,4,3.5,4,3.5,4,4,4,0
896,1202160043,4,3.5,0,4,3.5,4,4,4,4,3,4,3,4,4,4,4,4,3.5,3.5,0
897,1202160044,4,3.5,0,3.5,4,3.5,3,3.5,4,2.5,3.5,2.5,3,3.5,4,3.5,4,3.5,2.5,0
898,1202160045,4,3.5,0,4,3.5,3,4,2,4,2.5,3.5,3.5,4,4,3.5,4,3.5,3.5,4,0
899,1202160046,4,3.5,0,3.5,4,3.5,3.5,3.5,4,3.5,3.5,3,3.5,3.5,4,3.5,4,3.5,4,0
900,1202160047,3.5,3.5,0,3.5,4,3.5,2,3,4,3,3.5,3.5,3.5,4,3.5,2,3.5,4,3.5,0
901,1202160048,4,3.5,0,4,4,3.5,4,4,4,3.5,4,3.5,4,4,4,3,3,3.5,3.5,0
902,1202160050,4,4,0,4,4,4,4,4,4,3.5,4,4,4,4,4,3,4,4,3.5,0
903,1202160051,3.5,4,0,3.5,3.5,3,3,4,3,2.5,3.5,3,3.5,3.5,4,3.5,3.5,4,2,0
904,1202160052,3,3.5,0,3.5,3.5,2,2,2.5,3,3,3.5,2,3.5,3.5,3.5,3.5,3,2.5,3,0
905,1202160053,0,0,0,0,0,0,2.5,2,2.5,0,2.5,2,0,0,0,2,0,0,2,0
906,1202160054,4,4,0,4,4,3,3.5,4,4,3.5,4,3.5,3.5,4,3.5,3.5,3.5,3.5,4,0
907,1202160055,2.5,2.5,0,3.5,3.5,3.5,2.5,2.5,4,3,3,2.5,3.5,3.5,3,2,2.5,2.5,3,0
908,1202160057,4,3.5,0,3.5,4,4,3.5,4,3.5,4,4,3.5,4,3.5,3.5,4,3.5,3.5,3.5,0
909,1202160059,4,3.5,0,4,3.5,3.5,3,4,3.5,2.5,3,2,3.5,3.5,4,3.5,3.5,4,3,0
910,1202160061,4,4,0,3.5,3.5,3.5,3.5,4,3.5,2.5,3.5,2,3.5,4,4,4,3.5,4,4,0
911,1202160062,3.5,3.5,0,4,3.5,3,2.5,4,4,3.5,3.5,2.5,3,3.5,3.5,3,3.5,3.5,4,0
912,1202160063,4,4,0,4,4,4,4,4,4,3.5,4,3.5,4,4,4,2,3.5,4,3.5,0
