,NIM,Technopreneur,EAD,ERP,EDM,EA,ISM,EIM,Peminatan,Keterangan
0,1202170006,1,1,1,1,1,1,1,ISM,Cocok
1,1202170010,1,1,1,1,1,1,1,EAD,Cocok
2,1202170011,1,1,1,1,1,1,1,ISM,Cocok
3,1202170015,1,1,1,1,1,1,1,EDM,Cocok
4,1202170018,1,1,1,1,1,1,1,EA,Cocok
5,1202170022,1,1,1,1,1,1,1,EDM,Cocok
6,1202170023,1,1,1,0,1,1,1,EAD,Cocok
7,1202170025,1,1,1,1,1,1,1,ISM,Cocok
8,1202170026,1,1,1,1,1,1,1,EAD,Cocok
9,1202170029,1,1,1,0,1,1,1,EAD,Cocok
10,1202170030,0,0,1,0,0,1,1,TECHNO,Tidak Cocok
11,1202170035,1,1,1,1,0,1,0,TECHNO,Cocok
12,1202170038,1,1,1,1,1,1,1,EAD,Cocok
13,1202170042,1,1,1,1,1,1,1,EAD,Cocok
14,1202170043,0,0,1,0,1,1,0,EIM,Tidak Cocok
15,1202170044,1,1,1,1,1,1,1,EIM,Cocok
16,1202170046,0,0,1,1,1,1,1,ISM,Cocok
17,1202170050,1,1,1,1,1,1,1,EA,Cocok
18,1202170058,1,1,1,1,1,1,1,EDM,Cocok
19,1202170062,1,1,1,1,1,1,1,ISM,Cocok
20,1202170063,1,1,1,1,1,1,1,EIM,Cocok
21,1202170066,1,1,1,1,1,1,1,EA,Cocok
22,1202170069,1,1,1,1,1,1,1,TECHNO,Cocok
23,1202170077,1,1,1,0,1,1,0,EDM,Tidak Cocok
24,1202170080,1,1,1,1,1,1,1,EDM,Cocok
25,1202170081,0,0,1,0,0,0,0,EAD,Tidak Cocok
26,1202170092,1,1,1,1,0,1,1,EDM,Cocok
27,1202170093,1,1,1,0,1,1,1,EA,Cocok
28,1202170097,1,0,1,0,0,1,1,EIM,Cocok
29,1202170099,0,0,0,0,0,1,0,EAD,Tidak Cocok
30,1202170101,1,1,1,1,1,1,1,EDM,Cocok
31,1202170106,1,1,1,1,0,1,1,EDM,Cocok
32,1202170108,1,1,1,1,1,1,1,ERP,Cocok
33,1202170109,1,1,1,1,1,1,1,ISM,Cocok
34,1202170110,1,1,1,1,1,1,1,EDM,Cocok
35,1202170115,1,1,1,1,1,1,1,ERP,Cocok
36,1202170117,1,0,1,1,0,1,0,EAD,Tidak Cocok
37,1202170118,1,1,1,1,1,1,1,EDM,Cocok
38,1202170121,1,1,1,1,1,1,1,EAD,Cocok
39,1202170130,1,1,1,1,1,1,1,EAD,Cocok
40,1202170131,1,1,1,1,1,1,1,EA,Cocok
41,1202170132,1,0,0,1,0,1,1,TECHNO,Cocok
42,1202170133,1,1,1,1,1,1,1,EA,Cocok
43,1202170136,1,1,1,1,1,1,1,EAD,Cocok
44,1202170148,1,1,1,1,1,1,1,EIM,Cocok
45,1202170154,1,1,1,1,1,1,1,EA,Cocok
46,1202170156,1,1,1,1,0,1,1,ERP,Cocok
47,1202170160,1,1,1,1,1,1,1,TECHNO,Cocok
48,1202170162,1,1,1,1,1,1,1,EA,Cocok
49,1202170163,0,0,1,0,0,0,0,TECHNO,Tidak Cocok
50,1202170165,1,0,1,1,0,1,1,ERP,Cocok
51,1202170166,1,1,1,1,1,1,1,EDM,Cocok
52,1202170168,1,1,1,0,1,1,1,EIM,Cocok
53,1202170169,1,1,1,1,1,1,1,ISM,Cocok
54,1202170173,1,1,1,0,0,1,1,EIM,Cocok
55,1202170180,1,1,1,1,1,1,1,EAD,Cocok
56,1202170182,1,0,1,0,1,1,1,EIM,Cocok
57,1202170187,1,1,1,0,0,0,1,TECHNO,Cocok
58,1202170188,1,1,1,1,1,1,1,EIM,Cocok
59,1202170190,1,1,1,1,1,1,1,EIM,Cocok
60,1202170193,1,1,1,1,1,1,1,ISM,Cocok
61,1202170207,1,0,1,0,0,1,1,ERP,Cocok
62,1202170211,0,0,1,0,0,1,1,EDM,Tidak Cocok
63,1202170213,1,1,0,1,1,1,1,EA,Cocok
64,1202170215,1,1,1,1,1,1,1,EDM,Cocok
65,1202170217,1,1,1,1,1,1,1,ERP,Cocok
66,1202170226,0,0,0,0,0,1,1,ISM,Cocok
67,1202170228,0,0,0,0,0,0,0,0,0
68,1202170229,1,1,1,1,0,1,1,EIM,Cocok
69,1202170232,1,1,1,1,1,1,1,EDM,Cocok
70,1202170236,0,0,0,0,0,1,0,EAD,Tidak Cocok
71,1202170240,1,1,1,1,1,1,1,EDM,Cocok
72,1202170242,1,1,0,0,1,1,0,TECHNO,Cocok
73,1202170243,1,1,1,1,1,1,1,ERP,Cocok
74,1202170244,1,1,1,1,1,1,1,EDM,Cocok
75,1202170248,0,0,1,1,1,1,1,ERP,Cocok
76,1202170249,1,1,1,1,1,1,1,TECHNO,Cocok
77,1202170250,1,1,1,1,1,1,1,EDM,Cocok
78,1202170251,1,1,1,1,1,1,1,EAD,Cocok
79,1202170256,0,0,0,0,0,0,0,EDM,Tidak Cocok
80,1202170257,0,0,1,0,0,0,0,EAD,Tidak Cocok
81,1202170258,1,1,1,1,1,1,1,ERP,Cocok
82,1202170260,0,0,0,0,0,1,1,0,0
83,1202170262,1,1,1,1,1,1,1,EA,Cocok
84,1202170265,1,1,1,1,0,1,1,EIM,Cocok
85,1202170268,1,1,1,1,1,1,1,EDM,Cocok
86,1202170270,1,1,1,1,1,1,1,EDM,Cocok
87,1202170272,1,0,1,1,1,1,1,EIM,Cocok
88,1202170279,0,0,1,1,1,1,1,EA,Cocok
89,1202170280,1,1,1,1,1,1,1,EDM,Cocok
90,1202170283,1,1,1,1,1,1,1,EA,Cocok
91,1202170285,1,1,0,0,0,1,0,TECHNO,Cocok
92,1202170286,1,1,1,1,1,1,1,EA,Cocok
93,1202170289,0,0,1,1,1,1,1,ISM,Cocok
94,1202170293,1,1,1,0,1,1,1,EAD,Cocok
95,1202170298,1,1,1,1,1,1,1,EAD,Cocok
96,1202170301,1,1,1,1,1,1,1,EAD,Cocok
97,1202170303,0,0,0,0,0,1,0,EDM,Tidak Cocok
98,1202170305,1,1,1,1,1,1,1,EAD,Cocok
99,1202170306,1,1,1,0,1,1,1,EAD,Cocok
100,1202170314,0,0,1,0,0,1,1,EIM,Cocok
101,1202170315,1,1,1,0,1,1,1,ERP,Cocok
102,1202170317,1,1,1,1,1,1,1,ISM,Cocok
103,1202170319,0,0,0,0,0,0,0,EAD,Tidak Cocok
104,1202170323,1,1,1,1,1,1,1,EIM,Cocok
105,1202170327,1,1,1,1,1,1,1,ERP,Cocok
106,1202170329,1,1,1,0,1,1,1,EDM,Tidak Cocok
107,1202170330,1,1,1,0,1,1,1,EAD,Cocok
108,1202170332,1,1,0,1,1,1,1,ISM,Cocok
109,1202170333,1,1,1,0,1,1,1,EAD,Cocok
110,1202170336,0,0,0,0,0,0,0,EAD,Tidak Cocok
