No,NIM,Pilihan 1,Pilihan 2,Peminatan,MP1,MP2,MP3
881,1202160002,ERP,EDM,ERP,4,0,0
882,1202160009,ERP,EDM,ERP,3,5,0,0
883,1202160010,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
884,1202160011,ERP,EDM,ERP,4,0,0
885,1202160013,EA,EDM,EDM,0,0,0
886,1202160015,ISM,EDM,ISM,3,5,0,0
887,1202160019,EAD,ISM,EAD,0,0,0
888,1202160020,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
889,1202160023,EA,EAD,EAD,0,0,0
890,1202160024,ISM,EAD,ISM,0,0,0
891,1202160028,EA,TECHNO,EA,0,0,0
892,1202160030,EAD,ISM,EAD,0,0,3,5
893,1202160034,EAD,EIM,EAD,0,0,4
894,1202160036,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
895,1202160041,EDM,ISM,EDM,3,5,0,0
896,1202160043,EDM,EIM,EDM,3,5,0,0
897,1202160044,EDM,ERP,EDM,0,0,0
898,1202160045,EIM,EDM,EIM,4,0,0
899,1202160046,EDM,EDM,EDM,3,5,0,0
900,1202160047,EA,EAD,EAA,3,0,0
901,1202160048,EA,EDM,EAA,4,0,0
902,1202160050,ERP,EAD,ERP,4,0,0
903,1202160051,EA,EDM,EAA,3,5,0,0
904,1202160052,TECHNO,ISM,TECHNO,4,0,0
905,1202160053,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
906,1202160054,EA,EDM,EAA,4,0,0
907,1202160055,EIM,EDM,EDM,0,0,0
908,1202160057,ERP,EDM,ERP,3,5,0,0
909,1202160059,EIM,EDM,EIM,3,5,0,0
910,1202160061,ERP,EDM,ERP,3,5,0,0
911,1202160062,EA,TECHNO,EAA,4,0,0
912,1202160063,EDM,ERP,EDM,3,5,0,0
913,1202160066,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
914,1202160067,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
