No,NIM,OOP,RPB,RPL,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,KSI,Pilihan 1,Peminatan,MP1,MP2,MP3,Status,Tanggal Lulus,Keterangan
1,1202150001,2,3.5,0,3.5,3,3,2,2,3,2,3.5,3.5,3,3.5,2,2,2.5,3.5,3.5,2,TECHNO,TECHNO,3.5,3,3,GRADUATED,30/08/19,TEPAT WAKTU
2,1202150002,3,3.5,3.5,4,3,3,3.5,3.5,3.5,3,3.5,4,4,3,3.5,2.5,3.5,3.5,3.5,3.5,ERP,ERP,4,4,3.5,GRADUATED,10/07/19,TEPAT WAKTU
3,1202150003,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
4,1202150004,3.5,4,3.5,4,3.5,4,3.5,3.5,3.5,4,3,4,4,3,3.5,3.5,3.5,3.5,4,4,EAD,EAD,3.5,4,2,GRADUATED,05/07/19,TEPAT WAKTU
5,1202150005,2,2.5,2,1,3.5,1,2,1,2.5,0,2.5,4,2,2,1,2,2,1,2,1,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
6,1202150006,3,2,3,0,1,2,3,0,2,2,2.5,4,0,3.5,1,1,3,0,2.5,3,OUT,OUT,0,0,0,NON-ACTIVE,OUT,TIDAK TEPAT WAKTU
7,1202150007,3.5,2,3.5,3,3.5,2.5,3.5,2.5,2,3.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,3,4,4,EIM,EIM,3.5,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
8,1202150009,2.5,3,0,3,3.5,3.5,2,1,3,2,4,3.5,2.5,2.5,2,3,3.5,3.5,3.5,2.5,ERP,ERP,2,2,0,GRADUATED,16/08/19,TEPAT WAKTU
9,1202150010,2.5,2.5,3.5,3,3.5,2,2,1,3.5,3.5,3,4,2.5,3,3,2,3.5,3,3,3.5,EIM,EIM,3.5,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
10,1202150011,2,3.5,4,3,3.5,2.5,2.5,1,2.5,2.5,2.5,4,2,3.5,2.5,2,2,2,3.5,3.5,EA,EA,2,2.5,3,STUDENT,OUT,TIDAK TEPAT WAKTU
11,1202150012,2,3,3.5,3.5,4,3.5,3,2,3.5,4,3,4,4,2.5,3,3.5,3.5,3.5,4,4,EIM,EIM,3.5,4,3.5,GRADUATED,10/07/19,TEPAT WAKTU
12,1202150013,3,2,2,2,3.5,3,3.5,2,3,3.5,3.5,4,3.5,2,3,2,2,2,3.5,2,ERP,ERP,3.5,3.5,3,STUDENT,OUT,TIDAK TEPAT WAKTU
13,1202150014,2.5,2,3.5,2,2.5,2,0,0,2.5,3,2.5,3.5,2.5,3,0,0,2,2,3,3,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
14,1202150015,3,2,4,3.5,3,2.5,3.5,3.5,2,3.5,3,4,3.5,3.5,2.5,2,2.5,3,3.5,2.5,ERP,ERP,3.5,2.5,3.5,GRADUATED,30/08/19,TEPAT WAKTU
15,1202150016,3.5,2,3.5,4,4,3.5,3.5,3.5,3,3.5,4,4,3.5,3.5,3,2,2.5,3.5,3,3,ERP,ERP,3.5,4,4,GRADUATED,16/08/19,TEPAT WAKTU
16,1202150017,4,3.5,4,3.5,4,4,2.5,3,4,4,4,3,3.5,3,4,3.5,3.5,3.5,4,3.5,TECHNO,TECHNO,4,4,4,GRADUATED,28/06/19,TEPAT WAKTU
17,1202150018,2,3.5,3,3.5,3,2,1,1,2.5,3.5,3,4,3.5,3,2.5,2,3,2.5,3,3.5,ISM,ISM,3.5,4,3,GRADUATED,16/08/19,TEPAT WAKTU
18,1202150019,2.5,3,4,3.5,3.5,3.5,2,0,3,3,3,4,3,3.5,3,2.5,2,2,3.5,3.5,ISM,ISM,3.5,4,2.5,GRADUATED,05/07/19,TEPAT WAKTU
19,1202150020,2,3,3.5,3.5,3.5,3.5,1,1,3.5,4,3.5,4,3.5,3.5,2.5,3.5,3.5,3.5,4,4,EIM,EIM,4,4,4,GRADUATED,28/06/19,TEPAT WAKTU
20,1202150022,4,3,3.5,4,3.5,3.5,4,4,4,4,4,4,4,4,3.5,3.5,4,3.5,4,4,ERP,ERP,3.5,4,3.5,GRADUATED,30/08/19,TEPAT WAKTU
21,1202150023,3.5,2.5,3.5,4,3.5,3,3,1,2.5,3.5,2,3.5,3.5,3.5,3,3.5,3,3.5,3.5,3,ERP,ERP,3.5,2.5,3.5,GRADUATED,30/08/19,TEPAT WAKTU
22,1202150024,3.5,2.5,3.5,3.5,3,3.5,4,4,3.5,4,4,4,3.5,3.5,3.5,3.5,3.5,3,3.5,4,TECHNO,TECHNO,4,4,4,GRADUATED,05/07/19,TEPAT WAKTU
23,1202150025,3,3,4,3.5,3,3,3,1,3.5,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,EIM,EIM,3.5,4,4,GRADUATED,10/07/19,TEPAT WAKTU
24,1202150026,1,0,0,3.5,0,2.5,1,1,2,2,2,0,0,0,0,0,2,0,3.5,0,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
25,1202150029,3.5,3,3.5,4,4,3,4,4,3.5,3.5,3.5,4,4,3.5,3,4,4,3.5,4,4,ISM,ISM,0,0,0,GRADUATED,30/08/19,TEPAT WAKTU
26,1202150030,2.5,3,1,0,3,2,1,0,3,1,2.5,4,3,2,0,2,2.5,0,2,3.5,EA,EA,3.5,2.5,3.5,STUDENT,OUT,TIDAK TEPAT WAKTU
27,1202150031,3,2.5,3.5,3,3.5,2.5,2,0,3,3.5,3,3.5,2.5,3.5,3,2.5,3.5,2.5,3.5,3.5,EA,EA,4,3,2,GRADUATED,30/08/19,TEPAT WAKTU
28,1202150032,4,3.5,4,4,3.5,4,3.5,4,3.5,4,4,4,4,3.5,4,3.5,3.5,3.5,3.5,3.5,EDM,EDM,4,4,4,GRADUATED,10/07/19,TEPAT WAKTU
29,1202150033,3,3,3.5,3,2,3,2,1,3.5,2,3.5,3,4,3,3.5,3.5,3,3.5,3.5,3.5,EIM,EIM,3.5,4,3.5,GRADUATED,30/08/19,TEPAT WAKTU
30,1202150034,4,3,3.5,4,3,2,3.5,4,3.5,4,3.5,4,4,3.5,3.5,2.5,3.5,3.5,3.5,3,TECHNO,TECHNO,3,3,3,GRADUATED,16/08/19,TEPAT WAKTU
31,1202150035,3,3,4,3.5,4,2,2,1,3.5,3.5,3.5,4,3,3,2.5,2,2,2.5,3.5,3.5,ISM,ISM,4,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
32,1202150036,2.5,3.5,4,3,4,3,3,2,3.5,3.5,2.5,4,3,3,3.5,3,2.5,3.5,3.5,3,EAD,EAD,3,3.5,3,GRADUATED,16/08/19,TEPAT WAKTU
33,1202150037,3,3.5,3,3.5,4,2.5,4,3,3.5,3.5,3.5,4,4,3.5,3,3.5,3.5,3.5,3.5,3.5,EA,EA,4,3.5,3.5,GRADUATED,28/06/19,TEPAT WAKTU
34,1202150038,3.5,2.5,3.5,0,3.5,3,2.5,1,3,3.5,3.5,4,3.5,3.5,2.5,3.5,3.5,3,3.5,3.5,TECHNO,TECHNO,3.5,3,3,GRADUATED,30/08/19,TEPAT WAKTU
35,1202150039,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
36,1202150040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
37,1202150041,2.5,3,0,2.5,2,2,2,2,2.5,1,3.5,3,2.5,3,2.5,2,2.5,3.5,2,3.5,EA,EA,3.5,2.5,3.5,STUDENT,OUT,TIDAK TEPAT WAKTU
38,1202150042,3,3,3,2.5,2,1,1,2,3.5,2.5,3.5,4,3,2.5,2.5,2,2.5,3.5,2.5,2,ERP,ERP,3.5,0,3.5,GRADUATED,16/08/19,TEPAT WAKTU
39,1202150043,2.5,2.5,3.5,3.5,3.5,3,2,1,2,3,3.5,4,2,3,3,2,2,2,3,3.5,ISM,ISM,3.5,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
40,1202150044,2,3.5,3,3,3.5,2,2,1,3.5,3.5,3,4,4,2,3,2,2,3,3,3,ERP,ERP,3.5,0,2.5,GRADUATED,30/08/19,TEPAT WAKTU
41,1202150046,2.5,0,2,2,2.5,1,2,0,3.5,2.5,2,4,3,2.5,2,2,2,2.5,2,3.5,EA,EA,2.5,2.5,3.5,STUDENT,OUT,TIDAK TEPAT WAKTU
42,1202150047,0,0,0,0,0,0,0,4,3,0,3.5,4,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
43,1202150048,3.5,0,0,0,0,0,3,2,1,3.5,4,3,0,0,0,0,0,0,3,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
44,1202150049,4,3,3,3,3.5,3.5,2.5,1,4,3.5,4,2,3.5,1,3.5,2,3,2.5,3.5,3.5,TECHNO,TECHNO,4,4,2.5,GRADUATED,30/08/19,TEPAT WAKTU
45,1202150050,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
46,1202150051,0,0,0,0,0,0,0,0,1,0,2.5,4,0,0,0,0,0,0,2,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
47,1202150052,2.5,4,3.5,3.5,4,3.5,3.5,4,3.5,3.5,3,4,4,4,3.5,3,2.5,4,3.5,4,EA,EA,4,3.5,4,GRADUATED,28/06/19,TEPAT WAKTU
48,1202150054,3.5,3.5,4,3.5,3.5,3.5,4,3.5,3.5,4,4,4,3.5,3.5,3.5,4,3.5,3,4,4,EAD,EAD,4,3.5,4,GRADUATED,30/08/19,TEPAT WAKTU
