,NIM,Label
0,1202170006,1
1,1202170010,1
2,1202170011,1
3,1202170015,1
4,1202170018,1
5,1202170022,1
6,1202170023,1
7,1202170025,1
8,1202170026,1
9,1202170029,1
10,1202170030,0
11,1202170035,1
12,1202170038,1
13,1202170042,1
14,1202170043,0
15,1202170044,1
16,1202170046,0
17,1202170050,1
18,1202170058,1
19,1202170062,1
20,1202170063,1
21,1202170066,1
22,1202170069,1
23,1202170077,1
24,1202170080,1
25,1202170081,0
26,1202170092,1
27,1202170093,1
28,1202170097,1
29,1202170099,0
30,1202170101,1
31,1202170106,1
32,1202170108,1
33,1202170109,1
34,1202170110,1
35,1202170115,1
36,1202170117,1
37,1202170118,1
38,1202170121,1
39,1202170130,1
40,1202170131,1
41,1202170132,1
42,1202170133,1
43,1202170136,1
44,1202170148,1
45,1202170154,1
46,1202170156,1
47,1202170160,1
48,1202170162,1
49,1202170163,0
50,1202170165,1
51,1202170166,1
52,1202170168,1
53,1202170169,1
54,1202170173,1
55,1202170180,1
56,1202170182,1
57,1202170187,1
58,1202170188,1
59,1202170190,1
60,1202170193,1
61,1202170207,1
62,1202170211,0
63,1202170213,1
64,1202170215,1
65,1202170217,1
66,1202170226,0
67,1202170228,0
68,1202170229,1
69,1202170232,1
70,1202170236,0
71,1202170240,1
72,1202170242,1
73,1202170243,1
74,1202170244,1
75,1202170248,0
76,1202170249,1
77,1202170250,1
78,1202170251,1
79,1202170256,0
80,1202170257,0
81,1202170258,1
82,1202170260,0
83,1202170262,1
84,1202170265,1
85,1202170268,1
86,1202170270,1
87,1202170272,1
88,1202170279,0
89,1202170280,1
90,1202170283,1
91,1202170285,1
92,1202170286,1
93,1202170289,0
94,1202170293,1
95,1202170298,1
96,1202170301,1
97,1202170303,0
98,1202170305,1
99,1202170306,1
100,1202170314,0
101,1202170315,1
102,1202170317,1
103,1202170319,0
104,1202170323,1
105,1202170327,1
106,1202170329,1
107,1202170330,1
108,1202170332,1
109,1202170333,1
