,NIM,Label
0,1202160002,1
1,1202160009,1
2,1202160010,0
3,1202160011,1
4,1202160013,1
5,1202160015,1
6,1202160019,0
7,1202160020,0
8,1202160023,1
9,1202160024,1
10,1202160028,1
11,1202160030,1
12,1202160034,1
13,1202160036,0
14,1202160041,1
15,1202160043,1
16,1202160044,1
17,1202160045,1
18,1202160046,1
19,1202160047,1
20,1202160048,1
21,1202160050,1
22,1202160051,1
23,1202160052,1
24,1202160053,0
25,1202160054,1
26,1202160055,1
27,1202160057,1
28,1202160059,1
29,1202160061,1
30,1202160062,1
31,1202160063,1
32,1202160066,1
33,1202160067,0
34,1202160070,1
35,1202160074,1
36,1202160076,0
37,1202160080,1
38,1202160082,1
39,1202160083,1
40,1202160084,1
41,1202160086,1
42,1202160088,1
43,1202160089,1
44,1202160093,1
45,1202160095,0
46,1202160096,1
47,1202160098,1
48,1202160101,1
49,1202160103,1
50,1202160105,1
51,1202160107,1
52,1202160110,1
53,1202160111,1
54,1202160112,1
55,1202160117,1
56,1202160118,1
57,1202160120,1
58,1202160121,1
59,1202160124,1
60,1202160126,1
61,1202160127,1
62,1202160130,1
63,1202160132,1
64,1202160133,1
65,1202160134,1
66,1202160135,1
67,1202160138,1
68,1202160141,1
69,1202160145,1
70,1202160148,1
71,1202160151,1
72,1202160153,0
73,1202160154,1
74,1202160155,1
75,1202160160,1
76,1202160167,1
77,1202160169,1
78,1202160171,1
79,1202160173,1
80,1202160178,1
81,1202160179,1
82,1202160180,1
83,1202160182,1
84,1202160183,1
85,1202160184,1
86,1202160185,1
87,1202160186,1
88,1202160190,1
89,1202160191,0
90,1202160192,1
91,1202160195,0
92,1202160196,1
93,1202160197,1
94,1202160200,1
95,1202160202,1
96,1202160205,1
97,1202160206,1
98,1202160210,1
99,1202160212,1
100,1202160214,1
101,1202160215,1
102,1202160216,1
103,1202160217,0
104,1202160218,0
105,1202160219,0
106,1202160222,1
107,1202160227,0
108,1202160229,1
109,1202160232,0
110,1202160234,1
111,1202160236,1
112,1202160237,1
113,1202160240,1
114,1202160247,0
115,1202160248,1
116,1202160251,1
117,1202160253,1
118,1202160255,1
119,1202160256,1
120,1202160257,1
121,1202160258,1
122,1202160262,1
123,1202160264,1
124,1202160265,0
125,1202160266,1
126,1202160267,1
127,1202160268,1
128,1202160269,1
129,1202160277,1
130,1202160278,1
131,1202160281,1
132,1202160282,1
133,1202160283,1
134,1202160288,1
135,1202160292,1
136,1202160293,1
137,1202160294,1
138,1202160295,1
139,1202160297,0
140,1202160299,1
141,1202160300,1
142,1202160303,1
143,1202160308,0
144,1202160313,0
145,1202160316,1
146,1202160320,1
147,1202160321,1
148,1202160322,1
149,1202160324,1
150,1202160325,1
151,1202160326,1
152,1202160327,1
153,1202160330,0
154,1202160332,1
155,1202160333,1
156,1202160338,0
157,1202160339,1
158,1202160340,1
159,1202160341,1
160,1202160342,1
161,1202160347,0
162,1202160352,0
163,1202160353,1
164,1202160354,0
165,1202160355,0
166,1202160357,0
167,1202160358,1
168,1202160360,1
169,1202160362,0
170,1202160365,1
171,1202160370,1
172,1202160372,1
173,1202160375,1
174,1202160380,0
175,1202160381,1
176,1202160382,1
177,1202160383,1
178,1202160385,1
179,1202160396,0
180,1202160398,1
181,1202160400,0
182,1202161228,1
183,1202162004,1
184,1202162006,1
185,1202162042,1
186,1202162097,1
187,1202162137,1
188,1202162144,1
189,1202162175,1
190,1202162198,0
191,1202162252,1
192,1202162274,1
193,1202162310,1
194,1202162319,1
195,1202162336,1
196,1202162337,1
197,1202162343,1
198,1202162356,1
199,1202162369,1
200,1202162376,1
201,1202162378,1
202,1202162384,1
203,1202162386,1
204,1202162389,0
205,1202163018,1
206,1202163060,1
207,1202163099,1
208,1202163104,1
209,1202163115,1
210,1202163119,1
211,1202163163,1
212,1202163170,1
213,1202163220,0
214,1202163239,1
215,1202163246,1
216,1202163259,1
217,1202163291,0
218,1202163296,1
219,1202163401,0
220,1202163402,0
221,1202164001,1
222,1202164003,1
223,1202164005,1
224,1202164007,1
225,1202164008,0
226,1202164012,1
227,1202164014,1
228,1202164016,1
229,1202164017,1
230,1202164021,1
231,1202164022,0
232,1202164025,1
233,1202164026,0
234,1202164027,1
235,1202164029,1
236,1202164031,1
237,1202164032,1
238,1202164033,0
239,1202164035,1
240,1202164037,1
241,1202164038,1
242,1202164039,1
243,1202164040,1
244,1202164049,0
245,1202164056,1
246,1202164058,1
247,1202164064,1
248,1202164065,1
249,1202164068,1
250,1202164069,1
251,1202164071,1
252,1202164072,1
253,1202164073,1
254,1202164075,0
255,1202164077,1
256,1202164078,1
257,1202164079,1
258,1202164081,1
259,1202164085,1
260,1202164087,1
261,1202164090,1
262,1202164091,1
263,1202164092,1
264,1202164094,0
265,1202164100,0
266,1202164102,0
267,1202164106,1
268,1202164108,0
269,1202164109,1
270,1202164113,1
271,1202164114,1
272,1202164116,1
273,1202164121,1
274,1202164122,1
275,1202164123,1
276,1202164125,1
277,1202164128,1
278,1202164129,1
279,1202164131,1
280,1202164136,1
281,1202164139,1
282,1202164140,1
283,1202164142,1
284,1202164143,1
285,1202164146,1
286,1202164147,1
287,1202164149,1
288,1202164150,1
289,1202164152,1
290,1202164156,1
291,1202164157,1
292,1202164158,1
293,1202164159,1
294,1202164161,1
295,1202164162,1
296,1202164164,0
297,1202164165,1
298,1202164166,1
299,1202164168,1
300,1202164172,1
301,1202164174,1
302,1202164176,1
303,1202164177,1
304,1202164181,0
305,1202164187,1
306,1202164188,1
307,1202164189,1
308,1202164193,1
309,1202164194,1
310,1202164199,0
311,1202164201,1
312,1202164203,1
313,1202164204,1
314,1202164207,1
315,1202164208,0
316,1202164209,0
317,1202164211,1
318,1202164213,1
319,1202164221,1
320,1202164223,1
321,1202164224,1
322,1202164225,1
323,1202164226,0
324,1202164230,1
325,1202164231,0
326,1202164233,1
327,1202164235,1
328,1202164238,1
329,1202164241,1
330,1202164242,1
331,1202164243,1
332,1202164244,1
333,1202164245,1
334,1202164249,1
335,1202164250,1
336,1202164254,1
337,1202164260,1
338,1202164261,1
339,1202164263,1
340,1202164270,1
341,1202164271,0
342,1202164272,1
343,1202164273,1
344,1202164275,1
345,1202164276,1
346,1202164279,1
347,1202164280,1
348,1202164284,1
349,1202164285,1
350,1202164286,1
351,1202164287,1
352,1202164289,1
353,1202164290,1
354,1202164298,0
355,1202164301,1
356,1202164302,1
357,1202164304,1
358,1202164305,0
359,1202164306,1
360,1202164307,1
361,1202164309,0
362,1202164311,0
363,1202164312,1
364,1202164314,1
365,1202164315,1
366,1202164317,0
367,1202164318,0
368,1202164323,1
369,1202164328,1
370,1202164329,1
371,1202164331,1
372,1202164334,1
373,1202164335,1
374,1202164344,1
375,1202164345,1
376,1202164346,0
377,1202164348,1
378,1202164349,1
379,1202164350,1
380,1202164351,0
381,1202164359,1
382,1202164361,0
383,1202164363,1
384,1202164364,1
385,1202164366,1
386,1202164367,1
387,1202164368,1
388,1202164371,1
389,1202164373,1
390,1202164374,1
391,1202164377,0
392,1202164379,0
393,1202164387,1
394,1202164388,0
395,1202164390,1
396,1202164391,1
397,1202164392,1
398,1202164393,0
399,1202164394,0
400,1202164395,1
401,1202164397,1
402,1202164399,1
